timestamp,provider,host,min_latency,avg_latency,max_latency,packet_loss
2024-12-06 18:35:15,DigitalOcean-NYC,147.182.172.189,mdev = 140,147,149,0
2024-12-06 18:35:24,DigitalOcean-SFO,137.184.230.42,mdev = 190,191,192,0
2024-12-06 18:35:33,DigitalOcean-TOR,159.89.119.125,mdev = 175,177,178,0
2024-12-06 18:35:43,Hostinger-BR,177.71.10.118,mdev = 147,149,150,0
2024-12-06 18:35:52,Hostinger-US,156.67.72.1,mdev = 165,167,168,0
2024-12-06 18:41:01,DigitalOcean-NYC,147.182.172.189,mdev = 146,149,163,0
2024-12-06 18:41:10,DigitalOcean-SFO,137.184.230.42,mdev = 189,191,193,0
2024-12-06 18:41:19,DigitalOcean-TOR,159.89.119.125,mdev = 182,183,184,0
2024-12-06 18:41:29,Hostinger-BR,177.71.10.118,mdev = 144,147,149,0
2024-12-06 18:41:38,Hostinger-US,156.67.72.1,mdev = 168,169,171,0
2024-12-06 18:46:47,DigitalOcean-NYC,147.182.172.189,mdev = 146,147,152,0
2024-12-06 18:46:56,DigitalOcean-SFO,137.184.230.42,mdev = 185,190,192,0
2024-12-06 18:47:06,DigitalOcean-TOR,159.89.119.125,mdev = 176,177,178,0
2024-12-06 18:47:15,Hostinger-BR,177.71.10.118,mdev = 145,147,149,0
2024-12-06 18:47:24,Hostinger-US,156.67.72.1,mdev = 162,166,168,0
2024-12-06 18:52:33,DigitalOcean-NYC,147.182.172.189,mdev = 145,147,149,0
2024-12-06 18:52:42,DigitalOcean-SFO,137.184.230.42,mdev = 189,190,191,0
2024-12-06 18:52:52,DigitalOcean-TOR,159.89.119.125,mdev = 169,175,178,0
2024-12-06 18:53:01,Hostinger-BR,177.71.10.118,mdev = 146,148,150,0
2024-12-06 18:53:10,Hostinger-US,156.67.72.1,mdev = 166,168,175,0
2024-12-06 18:58:19,DigitalOcean-NYC,147.182.172.189,mdev = 145,147,151,0
2024-12-06 18:58:28,DigitalOcean-SFO,137.184.230.42,mdev = 189,191,192,0
2024-12-06 18:58:38,DigitalOcean-TOR,159.89.119.125,mdev = 176,178,179,0
2024-12-06 18:58:47,Hostinger-BR,177.71.10.118,mdev = 147,148,149,0
2024-12-06 18:58:56,Hostinger-US,156.67.72.1,mdev = 166,167,168,0
2024-12-06 19:04:05,DigitalOcean-NYC,147.182.172.189,mdev = 147,148,149,0
2024-12-06 19:04:14,DigitalOcean-SFO,137.184.230.42,mdev = 189,191,199,0
2024-12-06 19:04:24,DigitalOcean-TOR,159.89.119.125,mdev = 176,177,178,0
2024-12-06 19:04:33,Hostinger-BR,177.71.10.118,mdev = 147,148,149,0
2024-12-06 19:04:42,Hostinger-US,156.67.72.1,mdev = 163,167,170,0
2024-12-06 19:09:51,DigitalOcean-NYC,147.182.172.189,mdev = 146,147,149,0
2024-12-06 19:10:00,DigitalOcean-SFO,137.184.230.42,mdev = 190,191,192,0
2024-12-06 19:10:10,DigitalOcean-TOR,159.89.119.125,mdev = 176,177,179,0
2024-12-06 19:10:19,Hostinger-BR,177.71.10.118,mdev = 147,148,149,0
2024-12-06 19:10:28,Hostinger-US,156.67.72.1,mdev = 166,167,168,0
2024-12-06 19:15:37,DigitalOcean-NYC,147.182.172.189,mdev = 144,146,148,0
2024-12-06 19:15:46,DigitalOcean-SFO,137.184.230.42,mdev = 189,191,192,0
2024-12-06 19:15:56,DigitalOcean-TOR,159.89.119.125,mdev = 175,177,179,0
2024-12-06 19:16:05,Hostinger-BR,177.71.10.118,mdev = 147,148,150,0
2024-12-06 19:16:14,Hostinger-US,156.67.72.1,mdev = 166,167,168,0
2024-12-06 19:21:23,DigitalOcean-NYC,147.182.172.189,mdev = 145,147,149,0
2024-12-06 19:21:32,DigitalOcean-SFO,137.184.230.42,mdev = 189,190,191,0
2024-12-06 19:21:42,DigitalOcean-TOR,159.89.119.125,mdev = 171,176,178,0
2024-12-06 19:21:51,Hostinger-BR,177.71.10.118,mdev = 146,148,149,0
2024-12-06 19:22:00,Hostinger-US,156.67.72.1,mdev = 166,167,168,0
2024-12-06 19:27:09,DigitalOcean-NYC,147.182.172.189,mdev = 145,147,149,0
2024-12-06 19:27:18,DigitalOcean-SFO,137.184.230.42,mdev = 189,191,192,0
2024-12-06 19:27:28,DigitalOcean-TOR,159.89.119.125,mdev = 176,177,178,0
2024-12-06 19:27:37,Hostinger-BR,177.71.10.118,mdev = 142,146,150,0
2024-12-06 19:27:46,Hostinger-US,156.67.72.1,mdev = 164,166,167,0
2024-12-06 19:32:55,DigitalOcean-NYC,147.182.172.189,mdev = 146,148,155,0
2024-12-06 19:33:04,DigitalOcean-SFO,137.184.230.42,mdev = 187,193,210,10
2024-12-06 19:33:14,DigitalOcean-TOR,159.89.119.125,mdev = 175,176,178,0
2024-12-06 19:33:24,Hostinger-BR,177.71.10.118,mdev = 147,148,149,0
2024-12-06 19:33:33,Hostinger-US,156.67.72.1,mdev = 165,167,168,10
2024-12-06 19:38:43,DigitalOcean-NYC,147.182.172.189,mdev = 146,147,148,0
2024-12-06 19:38:52,DigitalOcean-SFO,137.184.230.42,mdev = 189,191,192,0
2024-12-06 19:39:01,DigitalOcean-TOR,159.89.119.125,mdev = 173,177,178,0
2024-12-06 19:39:11,Hostinger-BR,177.71.10.118,mdev = 147,148,150,0
2024-12-06 19:39:20,Hostinger-US,156.67.72.1,mdev = 165,167,168,0
